,Actual,Prediction,Error
2020-09-14,10680.837890625,10410.712,270.1259765625
2020-09-15,10796.951171875,10608.377,188.57421875
2020-09-16,10974.9052734375,10757.495,217.41015625
2020-09-17,10948.990234375,10924.577,24.4130859375
2020-09-18,10944.5859375,10973.164,28.578125
2020-09-19,11094.3466796875,10988.111,106.2353515625
2020-09-20,10938.271484375,11085.288,147.0166015625
2020-09-21,10462.259765625,11027.032,564.7724609375
2020-09-22,10538.4599609375,10710.507,172.046875
2020-09-23,10246.1865234375,10633.38,387.193359375
2020-09-24,10760.06640625,10424.935,335.1318359375
2020-09-25,10692.716796875,10660.768,31.94921875
2020-09-26,10750.7236328125,10713.262,37.4619140625
2020-09-27,10775.26953125,10769.048,6.2216796875
2020-09-28,10709.65234375,10805.37,95.7177734375
2020-09-29,10844.640625,10778.6455,65.9951171875
2020-09-30,10784.4912109375,10850.878,66.38671875
2020-10-01,10619.4521484375,10842.083,222.630859375
2020-10-02,10575.974609375,10736.818,160.84375
2020-10-03,10549.3291015625,10668.538,119.208984375
2020-10-04,10669.5830078125,10625.966,43.6171875
2020-10-05,10793.33984375,10683.795,109.544921875
2020-10-06,10604.40625,10783.161,178.7548828125
2020-10-07,10668.96875,10705.67,36.701171875
2020-10-08,10915.685546875,10714.483,201.2021484375
2020-10-09,11064.4580078125,10869.958,194.5
2020-10-10,11296.361328125,11022.563,273.7978515625
2020-10-11,11384.181640625,11224.406,159.775390625
2020-10-12,11555.36328125,11356.517,198.8466796875
2020-10-13,11425.8994140625,11512.291,86.3916015625
2020-10-14,11429.5068359375,11492.419,62.912109375
2020-10-15,11495.349609375,11485.625,9.724609375
2020-10-16,11322.123046875,11523.148,201.025390625
2020-10-17,11358.1015625,11431.3,73.1982421875
2020-10-18,11483.359375,11417.362,65.9970703125
2020-10-19,11742.037109375,11489.474,252.5634765625
2020-10-20,11916.3349609375,11677.305,239.0302734375
2020-10-21,12823.689453125,11858.166,965.5234375
2020-10-22,12965.8916015625,12486.815,479.076171875
2020-10-23,12931.5390625,12820.074,111.46484375
2020-10-24,13108.0625,12925.549,182.513671875
2020-10-25,13031.173828125,13072.521,41.34765625
2020-10-26,13075.248046875,13081.017,5.7685546875
2020-10-27,13654.21875,13110.328,543.890625
2020-10-28,13271.28515625,13478.113,206.828125
2020-10-29,13437.8828125,13385.794,52.0888671875
2020-10-30,13546.5224609375,13450.746,95.7763671875
2020-10-31,13780.9951171875,13542.816,238.1787109375
2020-11-01,13737.109375,13723.327,13.7822265625
2020-11-02,13550.4892578125,13766.431,215.94140625
2020-11-03,13950.30078125,13667.253,283.0478515625
2020-11-04,14133.70703125,13874.1045,259.6025390625
2020-11-05,15579.8486328125,14068.32,1511.5283203125
2020-11-06,15565.880859375,15034.129,531.751953125
2020-11-07,14833.75390625,15402.331,568.5771484375
2020-11-08,15479.5673828125,15090.863,388.7041015625
2020-11-09,15332.3154296875,15362.397,30.08203125
2020-11-10,15290.90234375,15378.054,87.1513671875
2020-11-11,15701.33984375,15357.716,343.6240234375
2020-11-12,16276.34375,15602.048,674.2958984375
2020-11-13,16317.80859375,16052.123,265.685546875
2020-11-14,16068.138671875,16252.629,184.490234375
2020-11-15,15955.587890625,16174.797,219.208984375
2020-11-16,16716.111328125,16073.145,642.966796875
2020-11-17,17645.40625,16500.873,1144.533203125
2020-11-18,17804.005859375,17241.152,562.853515625
2020-11-19,17817.08984375,17626.941,190.1484375
2020-11-20,18621.314453125,17781.799,839.515625
2020-11-21,18642.232421875,18333.316,308.916015625
2020-11-22,18370.001953125,18560.268,190.265625
2020-11-23,18364.12109375,18477.984,113.86328125
2020-11-24,19107.46484375,18439.988,667.4765625
2020-11-25,18732.12109375,18882.113,149.9921875
2020-11-26,17150.623046875,18824.742,1674.119140625
2020-11-27,17108.40234375,17826.943,718.541015625
2020-11-28,17717.4140625,17409.973,307.44140625
2020-11-29,18177.484375,17625.855,551.62890625
2020-11-30,19625.8359375,17997.2,1628.63671875
2020-12-01,18802.998046875,19035.455,232.45703125
2020-12-02,19201.091796875,18933.557,267.53515625
2020-12-03,19445.3984375,19132.805,312.59375
2020-12-04,18699.765625,19358.99,659.224609375
2020-12-05,19154.23046875,18986.695,167.53515625
2020-12-06,19345.12109375,19119.041,226.080078125
2020-12-07,19191.630859375,19289.648,98.017578125
2020-12-08,18321.14453125,19262.055,940.91015625
2020-12-09,18553.916015625,18714.842,160.92578125
2020-12-10,18264.9921875,18643.531,378.5390625
2020-12-11,18058.904296875,18440.867,381.962890625
2020-12-12,18803.65625,18236.227,567.4296875
2020-12-13,19142.3828125,18616.168,526.21484375
2020-12-14,19246.64453125,18974.992,271.65234375
2020-12-15,19417.076171875,19178.42,238.65625
2020-12-16,21310.59765625,19360.627,1949.970703125
2020-12-17,22805.162109375,20594.816,2210.345703125
2020-12-18,23137.9609375,21995.342,1142.619140625
2020-12-19,23869.83203125,22741.744,1128.087890625
2020-12-20,23477.294921875,23473.86,3.435546875
2020-12-21,22803.08203125,23511.814,708.732421875
2020-12-22,23783.029296875,23105.07,677.958984375
2020-12-23,23241.345703125,23546.291,304.9453125
2020-12-24,23735.94921875,23387.252,348.697265625
2020-12-25,24664.791015625,23628.168,1036.623046875
2020-12-26,26437.037109375,24294.533,2142.50390625
2020-12-27,26272.294921875,25644.387,627.908203125
2020-12-28,27084.80859375,26067.447,1017.361328125
2020-12-29,27362.4375,26724.496,637.94140625
2020-12-30,28840.953125,27146.627,1694.326171875
2020-12-31,29001.720703125,28215.602,786.119140625
2021-01-01,29374.15234375,28728.451,645.701171875
2021-01-02,32127.267578125,29150.947,2976.3203125
2021-01-03,32782.0234375,31003.387,1778.63671875
2021-01-04,31971.9140625,32126.105,154.19140625
2021-01-05,33992.4296875,32056.717,1935.712890625
2021-01-06,36824.36328125,33261.53,3562.83203125
2021-01-07,39371.04296875,35468.28,3902.76171875
2021-01-08,40797.609375,37887.29,2910.3203125
2021-01-09,40254.546875,39693.445,561.1015625
2021-01-10,38356.44140625,40047.66,1691.21875
2021-01-11,35566.65625,39005.05,3438.39453125
2021-01-12,33922.9609375,36877.133,2954.171875
2021-01-13,37316.359375,35039.94,2276.41796875
2021-01-14,39187.328125,36419.566,2767.76171875
2021-01-15,36825.3671875,38122.73,1297.36328125
2021-01-16,36178.140625,37337.777,1159.63671875
2021-01-17,35791.27734375,36626.58,835.30078125
2021-01-18,36630.07421875,36110.305,519.76953125
2021-01-19,36069.8046875,36427.184,357.37890625
2021-01-20,35547.75,36211.39,663.640625
2021-01-21,30825.69921875,35806.55,4980.8515625
2021-01-22,33005.76171875,32748.701,257.060546875
2021-01-23,32067.642578125,32896.92,829.279296875
2021-01-24,32289.37890625,32393.27,103.890625
2021-01-25,32366.392578125,32339.793,26.599609375
2021-01-26,32569.849609375,32370.951,198.8984375
2021-01-27,30432.546875,32510.193,2077.646484375
2021-01-28,33466.09765625,31250.979,2215.119140625
2021-01-29,34316.38671875,32621.973,1694.4140625
2021-01-30,34269.5234375,33686.156,583.3671875
2021-01-31,33114.359375,34068.656,954.296875
2021-02-01,33537.17578125,33502.824,34.3515625
2021-02-02,35510.2890625,33535.12,1975.16796875
2021-02-03,37472.08984375,34759.434,2712.65625
2021-02-04,36926.06640625,36444.7,481.3671875
2021-02-05,38144.30859375,36760.86,1383.44921875
2021-02-06,39266.01171875,37621.688,1644.32421875
2021-02-07,38903.44140625,38640.97,262.47265625
2021-02-08,46196.46484375,38810.336,7386.12890625
2021-02-09,46481.10546875,43344.734,3136.37109375
2021-02-10,44918.18359375,45282.902,364.71875
2021-02-11,47909.33203125,45056.805,2852.52734375
2021-02-12,47504.8515625,46784.887,719.96484375
2021-02-13,47105.515625,47204.613,99.09765625
2021-02-14,48717.2890625,47112.625,1604.6640625
2021-02-15,47945.05859375,48059.016,113.95703125
2021-02-16,49199.87109375,47954.977,1244.89453125
2021-02-17,52149.0078125,48678.625,3470.3828125
2021-02-18,51679.796875,50766.15,913.6484375
2021-02-19,55888.1328125,51288.52,4599.61328125
2021-02-20,56099.51953125,54059.89,2039.62890625
2021-02-21,57539.9453125,55258.3,2281.64453125
2021-02-22,54207.3203125,56586.29,2378.96875
2021-02-23,48824.42578125,55052.33,6227.90234375
